Rebar 1 
 X,Y,Z
-0.9090,-0.0443,0.3400
-0.9053,-0.0434,0.3400
-0.9053,-0.0425,0.3400
-0.9053,-0.0417,0.3400
-0.9017,-0.0408,0.3400
-0.9053,-0.0400,0.3400
-0.9053,-0.0391,0.3400
-0.9053,-0.0382,0.3400
-0.9053,-0.0374,0.3400
-0.9053,-0.0365,0.3400
-0.9053,-0.0356,0.3400
-0.9053,-0.0348,0.3400
-0.9053,-0.0339,0.3400
-0.9053,-0.0330,0.3400
-0.9053,-0.0322,0.3400
-0.9053,-0.0313,0.3400
-0.9053,-0.0304,0.3400
-0.9053,-0.0296,0.3400
-0.9053,-0.0287,0.3400
-0.9053,-0.0278,0.3400
-0.9090,-0.0270,0.3400
-0.9090,-0.0261,0.3400
-0.9090,-0.0252,0.3400
-0.9090,-0.0244,0.3400
-0.9090,-0.0235,0.3400
-0.9090,-0.0226,0.3400
-0.9053,-0.0218,0.3400
-0.9053,-0.0209,0.3400
-0.9053,-0.0200,0.3400
-0.9053,-0.0192,0.3400
-0.9053,-0.0183,0.3400
-0.9053,-0.0174,0.3400
-0.9053,-0.0166,0.3400
-0.9053,-0.0157,0.3400
-0.9053,-0.0148,0.3400
-0.9053,-0.0140,0.3400
-0.9053,-0.0131,0.3400
-0.9053,-0.0123,0.3400
-0.9053,-0.0114,0.3400
-0.9053,-0.0105,0.3400
-0.9053,-0.0097,0.3400
-0.9053,-0.0088,0.3400
-0.9053,-0.0079,0.3400
-0.9053,-0.0071,0.3400
-0.9053,-0.0062,0.3400
-0.9053,-0.0053,0.3400
-0.9053,-0.0045,0.3400
-0.9017,-0.0036,0.3400
-0.8980,-0.0027,0.3400
-0.8980,-0.0019,0.3400
-0.8980,-0.0010,0.3400
-0.8980,-0.0001,0.3400
-0.8980,0.0007,0.3400
-0.8980,0.0016,0.3400
-0.8980,0.0025,0.3400
-0.8980,0.0033,0.3400
-0.8980,0.0042,0.3400
-0.8980,0.0051,0.3400
-0.8980,0.0059,0.3400
-0.8980,0.0068,0.3400
-0.8980,0.0077,0.3400
-0.8980,0.0085,0.3400
-0.8980,0.0094,0.3400
-0.8980,0.0103,0.3400
-0.8980,0.0111,0.3400
-0.8980,0.0120,0.3400
-0.8980,0.0129,0.3400
-0.8980,0.0137,0.3400
-0.8980,0.0146,0.3400
